,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
0,1,Prophet Muhammad,Rasool Allah,53 BH/570 CE (9th Rabi' awwal) (Makkah),11 AH/632 CE (12th Rabi' awwal (Medina)[ Natural ],"9th Rabi' awwal, Makkah","['53 BH', '570 CE']",53,570,11,632,12th Rabi' awwal (Medina,Natural,'Abdullah ibn 'Abd al-Muttalib [9991],Amina bint Wahb b 'Abd Munaf bin Zuhrah,Khadijah [51] , Sawda bint Zam'a [52] , 'Aisha bint Abi Bakr [53] , Hafsa bint Umar [54] , Zaynab bint Khazeemah [55] , Umm Salamah [56] , Zaynab bint Jahsh [57] , Juwayriya bint al-Harith [58] , Umm Habibah bint Abi Sufyan [59] , Safiyya bint Huyayy [60] , Maymuna bint al-Harith [61] , Maria al-Qibtiyya [62],al-Qasim bin Muhammad [516] , Zaynab bint Muhammad [97] , Ruqayyah bint Muhammad [102] , Umm Kulthum bint Muhammad [94] , Fatima bint Muhammad [63] , 'Abdullah bin Muhammad [517] , Ibrahim bin Muhammad [518],,,,,,,,,,,,,,,,,Makkah, Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Talha ibn 'Ubaidullah [6] , Zubayr ibn al-Awwam [7] , 'Abdur Rahman Ibn 'Awf [8] , Sa'd ibn Abi Waqqas [9] , Abu 'Ubaidah ibn al-Jarrah [10] , ibn Mas'ud [16] , ibn Abbas [17] , ibn Umar [18] , Anas bin Malik [19] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56],,,,,,,,,,Tafsir/Quran, Recitation/Quran, Hadith, Commander, Reformer,Quraish [Quraish] , B.Hashim [B.Hashim] , Prophet [Prophet] , Rasool [Rasool] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,
1,2,Abu Bakr As-Siddique ,Comp.(RA) [1st Generation],51 BH/573 CE (Makkah),13 AH/634 CE (Medina)[ Natural ],Makkah,"['51 BH', '573 CE']",51,573,13,634,Medina,Natural,Abu Quhafa Uthman bin 'Amir [500],Salma Umm-ul-Khair [501],Qutaylah bint Abdul-'Uzza, Umm Ruman [91] , Asma bint 'Umays [69] , Habiba bint Kharijah ibn Zayd [203],,,,,,,,,Asma' bint Abi Bakr [70] , 'Abdullah bin Abi Bakr [110] , 'Aisha bint Abi Bakr [53] , 'Abdur Rahman bin Abi Bakr [107] , Muhammad ibn Abi Bakr [168] , Umm Khultum bint Abi Bakr [10500],,,,,,,Quafah ibn Uthman, Mu'taq, Utaiq,,,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , 'Abdur Rahman Ibn 'Awf [8] , Zayd ibn Thabit [49] , 'Aisha bint Abi Bakr [53] , 'Abdur Rahman bin Abi Bakr [107] , Muhammad ibn Abi Bakr [168] , ibn Abbas [17] , 'Abdullah ibn al-Zubayr [106] , ibn Umar [18] , 'Abdullah bin 'Amr bin al-'Aas [29] , Anas bin Malik [19] , Jabir ibn 'Abdullah [34] , al-Bara' bin Azib bin al-Harith [400] , Abu Sa'id al-Khudri [38] , Abu Hurairah [13] , Tariq bin Shahab [3680] , 'Uqba binal-Harith bin 'Amir [872] , Abu al-Tufayl, 'Amir bin Wathla [3660] , 'Abdur Rahman bin 'Asayla al-Sanabahi [11194] , Aslam Client Of 'Umar [11416] , Qays bin Abi Hazim [11046] ,Tafsir/Quran, Recitation/Quran, Narrator , Commander, Khalifah,Quraish [Quraish] , B.Taym [B.Taym] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise],,,,,,,,,,,,,,,,,,
2,3,'Umar ibn al-Khattab ,Comp.(RA) [1st Generation],41 BH/582 CE (Makkah),23 AH/645 CE (Medinah)[ Martyred  ],Makkah,"['41 BH', '582 CE']",41,582,23,645,Medinah,Martyred,Khattab ibn Nufayl,Hantamah bint Hisham Makhzumi,Zaynab bint Maz'un [124] , Umm Kulthum bint 'Amr (Jarwal) [186] , Qaraybah bint Abi Umayyah al-Sugra [81] , Jamila bint Thabit ibn Abi al-Aflah [564] , 'Atikah bint Zayd [196] , Umm Kulthum bint 'Ali bin Abi Talib [99] , Umm Hakim [93] , Umm Walad(Lihayyah), Umm Walad(Fakhihah),,,,ibn Umar [18] , Hafsa bint Umar [54] , 'Abdur Rahman bin 'Umar (Akbar) [560] , 'Ubaidallah bin 'Umar [561] , Zayd bin 'Umar [562] , 'Asim bin 'Umar [563] , 'Iyad bin 'Umar [10577] , Zaid (older) bin 'Umar [10575] , Ruqayyah bint 'Umar [10576] , Fatima bint 'Umar [10578] , 'Abdur Rahman(middle), 'Abdur Rahman(younger),Zayd ibn al-Khattab [114] , Fatima bint al-Khattab [78] , Safiyah bint al-Khattab [445],,,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2],,,,,,,,,,,,,,,,,,,,,,,Hafsa bint Umar [54] , ibn Umar [18] , 'Asim bin 'Umar [563] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Talha ibn 'Ubaidullah [6] , Sa'd ibn Abi Waqqas [9] , 'Abdur Rahman Ibn 'Awf [8] , Ubayy ibn Ka'b [39] , ibn Mas'ud [16] , Mu'awiya ibn Abu Sufyan [27] , 'Amr bin al-'Aas [28] , Zayd ibn Thabit [49] , 'Abdullah bin 'Amr bin al-'Aas [29] , 'Abdullah ibn al-Zubayr [106] , ibn Abbas [17] , 'Aisha bint Abi Bakr [53] , Anas bin Malik [19] , al-Bara' bin Azib bin al-Harith [400] , Abu Hurairah [13] , Abu Musa al-Asha'ari [41] , 'Uqba bin 'Amir al-Juhayni [189] , Abu Qatada ibn Rab'i [391] , 'Adi ibn Hatim al-Tayyi' [212] ,Tafsir/Quran, Recitation/Quran, Narrator, Commander, Khalifah,Quraish [Quraish] , B.'Adi [B.'Adi] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise],,,,,,,,,,,,,,,,,,,
3,4,'Uthman ibn 'Affaan ,Comp.(RA) [1st Generation],47 BH/579 CE (Ta'if),35 AH/655 CE (Medinah)[ Martyred  ],Ta'if,"['47 BH', '579 CE']",47,579,35,655,Medinah,Martyred,'Affan ibn Abi al-'As,Arwa bint Kuraiz bin Rabi'a [426],Ruqayyah bint Muhammad [102] , Umm Kulthum bint Muhammad [94] , Fakhitah bint Ghazwan [576] , Ramlah bint Shayba bin Rabi'a [572] , Umm 'Amr bint Jundub al-Dausi [573] , Fatima bint al-Walid b. 'Abd Shams [574] , Na'ilah bint al-Furafisah [575],,,,,,'Abdullah bin 'Uthman [571] , 'Abdullah bin 'Uthman(younger) [10580] , 'Aishah bint 'Uthman [10590] , Umm Aban bint 'Uthman [10591] , Umm 'Amr bint 'Uthman [10592] , 'Amr bin 'Uthman [10581] , Aban bin 'Uthman [10582] , 'Umar bin 'Uthman [10583] , Khalid bin 'Uthman [10584] , Maryam bint 'Uthman [10585] , al-Walid bin 'Uthman [10586] , Sa'id bin 'Uthman [10587] ,Amnah bint Affaan [570],,,,,,,,,,,Makkah, Abyssinia, Medinah,,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3],,,,,,,,,,,,,,,,,,,,,,Aban bin 'Uthman [10582] , Sa'id bin 'Uthman [10587] , ibn Mas'ud [16] , Zayd ibn Thabit [49] , 'Imran bin Husain [123] , Abu Qatada ibn Rab'i [391] , Abu Hurairah [13] , Anas bin Malik [19] , ibn Mas'ud [16] , ibn Abbas [17] , 'Abdullah ibn al-Zubayr [106] , Marwan bin al-Hakam bin Abi al-'As [858] , Salma ibn al-Akwa [237] , Abu Umama al-Bahili [4048] , Abu Umama bin Sahl [405] , 'Abdur Rahman ibn al-Harith [448] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Tariq bin Shahab [3680] , Malik bin Aws bin al-Hadathan [5030] , 'Abdur Rahman bin Abi 'Amra [1238] , 'Ubaidullah bin 'Ady bin al-Khayyar [880] , Sa'id bin al-'As bin Sa'id bin al-'As [989] , Mahmud bin Labid bin 'Uqba [1830] , Sa'id ibn al-Musayyib [11002] ,Tafsir/Quran, Narrator , Fiqh, Commander, Khalifah,Quraish [Quraish] , B.'Abd Shams [B.'Abd%20Shams] , B.Umayya [B.Umayya] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Promised Paradise [Promised%20Paradise] , Emigrant [Emigrant] , Scribe [Scribe],,,,,,,,,,,,,,,,,,
4,5,Ali ibn Abi Talib ,Comp.(RA) [1st Generation],23 BH/600 CE (13 Rajab) (Makkah),40 AH/661 CE (21 Ramadhan) (Kufa)[ Martyred  ],"13 Rajab, Makkah","['23 BH', '600 CE', '13 R']",23,600,40,661,"21 Ramadhan, Kufa",Martyred,Abu Talib ibn 'Abd al-Muttalib [9992],Fatima bint Asad [77],Fatima bint Muhammad [63] , Khawlah bint Ja'far [565] ,  [566] , Asma bint 'Umays [69] , Umm Walad(s),,,,,,,,Hassan ibn Ali bin Abi Talib [30] , Hussain ibn 'Ali ibn Abi Talib [31] , Zaynab bint 'Ali bin Abi Talib [98] , Umm Kulthum bint 'Ali bin Abi Talib [99] , Muhammad bin 'Ali bin al-Hanfiyyah [10600] , al-Abbas, 'Umar bin 'Ali bin Abi Talib [19933] , Ja'far, 'Uthman, Yahya (died young), Fatima bint 'Ali bin Abi Talib [19508] , others,Talib ibn Abi Talib [164] , 'Aqeel ibn Abi Talib [165] , Ja'far ibn Abi Talib [21] , Umm Hani bint Abi Talib [198] , Jumanah bint Abi Talib [199],,,,,,,Makkah, Medina, kufa,,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , Fatima bint Muhammad [63] , al-Miqdad ibn al-Aswad [163],,,,,,,,,,,,,,,,,,,,Hassan ibn Ali bin Abi Talib [30] , Hussain ibn 'Ali ibn Abi Talib [31] , ibn Mas'ud [16] , al-Bara' bin Azib bin al-Harith [400] , Abu Hurairah [13] , Abu Sa'id al-Khudri [38] , Suhayb bin Sinan ar-Rumi [182] , Safinah [438] , ibn Abbas [17] , ibn Umar [18] , 'Abdullah ibn al-Zubayr [106] , 'Abdullah ibn Ja'far [108] , Jabir ibn 'Abdullah [34] , Jabir bin Samra [393] , Zayd bin Arqam [384] , Abu Musa al-Asha'ari [41] , Abu Umama bin Sahl [405] , Abu Layla [1937] , Ja'dah bin Hubayra bin Abi Wahb [2080] , Bashr bin Sahaym [4081] , 'Amr bin Hurayth bin 'Amr bin 'Uthman [5202] , Abu Juhayfa al-Sawai' [4047] , Mas'ud bin al-Hakam bin al-Rabi' [1546] , Abu al-Tufayl,Tafsir/Quran, Recitation/Quran, Narrator , Commander, Khalifah,Quraish [Quraish] , B.Hashim [B.Hashim] , Cousin [Cousin] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khaybar [Khaybar] , Scribe [Scribe] , Promised Paradise [Promised%20Paradise],,,,,,,,,,,,,,,,,
5,6,Talha ibn 'Ubaidullah ,Comp.(RA) [1st Generation],28 BH/596 CE (Makkah),36 AH/656 CE (Medinah)[ Martyred(Jamal) ],Makkah,"['28 BH', '596 CE']",28,596,36,656,"Medinah, Jamal",Martyred,'Ubaidullah b. 'Uthman b. 'Amr,as-Sa'bah bint al-Hadrami [585],Hamnah bint Jahsh [72] , Khawla bint al-Qa'Qa' [580] , Umm Aban bint 'Utba b. Rabi'a [581] , Umm Khultum bint Abi Bakr [10500] , Suada bint 'Auf al-Murriya [582] , al-Jarba' bint Qasama al-Tayyi' [583],,,,,,,Muhammad As-Sajjad ibn Talha [577] , 'Imran ibn Talha [578] , Musa ibn Talha [579] , Ya'qub ibn Talha [10597] , Isma'il ibn Talha [10598] , Ishaq ibn Talha [10599] , Zakariyya bin Talha [10502] , Yusuf ibn Talha [10503] , 'Aisha bint Talha [10504] , 'Isa bin Talha bin 'Ubaidullah [10573] , Yahya ibn Talha [10574] , Umm Ishaq,'Uthman bin 'Ubaidullah [2704],,,,,,,,,,,Makkah, Medinah,,,,Muhammad (saw) [1] , Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3],,,,,,,,,,,,,,,,,,,,,,Muhammad As-Sajjad ibn Talha [577] , 'Imran ibn Talha [578] , Musa ibn Talha [579] , Isma'il ibn Talha [10598] , 'Isa bin Talha bin 'Ubaidullah [10573] , Yahya ibn Talha [10574] , 'Aisha bint Talha [10504] , Jabir ibn 'Abdullah [34] , 'Abdur Rahman bin 'Uthman [2705] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Rabi'a bin 'Abdullah bin al-Hudayr [2711] , 'Abdullah ibn Shaddad [169] , Abu Salama bin 'Abdur Rahman [10567] , Qays bin Abi Hazim [11046] , Malik bin Aws bin al-Hadathan [5030] , Abu 'Uthman al-Nahdi [11113] , Malik bin Abi 'Amir [11443] , Others,,,,,,,Recitation/Quran, Narrator , Commander,,,Quraish [Quraish] , B.Taym [B.Taym] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Uhud [Uhud] , Khandaq [Khandaq] , Promised Paradise [Promised%20Paradise],,,,,,,,,,,,,,,,,,,,
6,7,Zubayr ibn al-Awwam ,Comp.(RA) [1st Generation],28 BH/596 CE (Makkah),36 AH/656 CE (Medinah)[ Martyred[Jamal] ],Makkah,"['28 BH', '596 CE']",28,596,36,656,Medinah,Martyred,Awwam ibn Khuwaylid bin Asad bin 'Abdul-'Uzza,Safiyya bint ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Â¹Ãƒâ€¦Ã¢â‚¬Å“Abd al-Muttalib [85],Asma' bint Abi Bakr [70] , Umm Khalid bin Khalid ibn Sa'id [740] , Umm Kulthum bint 'Uqba [95] , al-Rabab bnt Unaif, Zainab bint Bishr, al-Halal bint Qays, Tumadir bint al-Asbagh Kalbia [593],,,,,,'Abdullah ibn al-Zubayr [106] , al-Mundhir bin al-Zubayr [10510] , 'Urwa ibn al-Zubayr [10511] , ''Asim ibn al-Zubayr [10512] , al-Muhajir ibn al-Zubayr [10513] , Khadija al-Kubra bint al-Zubayr [10514] , Ummul Hasan bint al-Zubayr [10515] , 'Aisha bint al-Zubayr [10516] , Khalid bin al-Zubayr [10548] , 'Amr bin al-Zubayr [10549] , Habibah bint al-Zubayr [10550] , Sawda bint al-Zubayr [10551] ,al-Saib bin al-'Awwam bin Khuwaylid [439] , Zaynab bint al-'Awwam bin Khuwaylid [431] , Umm Habib bint al-'Awwam bin Khuwaylid [436] , 'Abdur Rahman bin al-'Awwam [2310] , 'Ubaidullah bin al-'Awwam [2311] , Bujayr bin al-'Awwam bin Khuwaylid [2312],,,,,,Makkah, Medinah,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,'Abdullah ibn al-Zubayr [106] , 'Urwa ibn al-Zubayr [10511] , al-Ahnaf bin Qays [11112] , Qays bin Abi Hazim [11046] , Malik bin Aws bin al-Hadathan [5030] , Maymun bin Mahran [11012] , Nafi' bin Jubayr bin Mut'im [11059] , others,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator, Fiqh, Commander,,Quraish [Quraish] , B.Asad [B.Asad] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Promised Paradise [Promised%20Paradise] , Scribe [Scribe],,,,,,,,,,,,,,,,,
7,8,'Abdur Rahman Ibn 'Awf ,Comp.(RA) [1st Generation],~43 BH/580 CE (est.) (Makkah),32 AH/654 CE (Medianh)[ Natural ],"est., Makkah","['43 BH', '580 CE']",43,580,32,654,Medianh,Natural,'Awf b. 'Abd 'Awf b. 'Abd b. al-Harith,al-Shifa' bint 'Awf [589],Umm Kulthum bint 'Utba b. Rabi'a [962] , Umm Kulthum bint 'Uqba [95] , Sahla bint 'Asim bin 'Ady [595] , Bahria bint Hani, Sehlah bint Suhayl [65] , Umm Hakim bint Qariz bin Khalid [596] , bint Abi al-Husayn, Tumadir bint al-Asbagh Kalbia [593] , Asma' bint Salama/Makhrabah [777] , Umm Wald, Badiyya bint Ghilan al-Thaqafi [3258],,Salim, Muhammad bin 'Abdur-Rahman [588] , Ibrahim bin 'Abdur Rahman [584] , Humaid bin 'Abdur Rahman [10561] , Isma'il, Hamida, Ammatur Rahman, Ma'n, 'Umar bin 'Abdur Rahman bin Awf [10560] , Zayd bin 'Abdur Rahman [10562] , Ammatur Rahman, 'Urwa (Akbar) bin 'Abdur Rahman [10563] ,'Atika bint 'Awf [590] , al-Shifa' bint 'Awf [591] , 'Abdullah Ibn 'Awf [592] , Halah bint 'Awf [594],,,,,,,,Makkah, Abyssinia, Medinah,,,Muhammad (saw) [1] , 'Umar ibn al-Khattab [3],,,,,,,,,,,,,,,,,,,,,,,Ibrahim bin 'Abdur Rahman [584] , Humaid bin 'Abdur Rahman [10561] , 'Umar bin 'Abdur Rahman bin Awf [10560] , Mus'ub bin 'Abdur Rahman [10569] , Abu Salama bin 'Abdur Rahman [10567] , al-Maswar bin Ibrahim [18999] , al-Miswar bin Makhrama bin Nawfal [2201] , ibn Abbas [17] , ibn Umar [18] , Jabir ibn 'Abdullah [34] , Jubayr bin Mut'im [871] , Anas bin Malik [19] , Bjalh bin Abd'h al-Tmymy al-Nbry [11577] , Malik bin Aws bin al-Hadathan [5030] , Nawful bin Iyas al-Hdhly [12551] , Rdad al-Lythy Wqal B'd'hm Abu [13510] , 'Abdullah bin 'Amir bin Rabi'a [709] , Muhammad bin Jubayr bin Mut'im [11058],,,,,,,Recitation/Quran, Narrator, Commander,,,Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Early Muslim [Early%20Muslim] , Abyssinia 1 [Abyssinia%201] , Abyssinia 2 [Abyssinia%202] , Emigrant [Emigrant] , Badr [Badr] , Promised Paradise [Promised%20Paradise] , Baqi' [Baqi'],,,,,,,,,,,,,,,,,,
8,9,Sa'd ibn Abi Waqqas ,Comp.(RA) [1st Generation],39 BH/584 CE (Makkah),55 AH/664 CE ((Al-'Atiq) Medina)[ Natural ],Makkah,"['39 BH', '584 CE']",39,584,55,664,(Al-'Atiq,Natural,Malik bin Uhaib bin 'Abd Manaf,Hamnah bint Sufyan bin Umayyah bin 'Abd Shams,bint Shihab bin 'Abdullah, Maria bint Qays, Umm 'Amir, Umm Hakim bint Qariz bin Khalid [596] , Others,,,,,,,,Ishaq bin Sa'd ibn Abi Waqqas [597] , Umm Hakam, 'Umar bin Sa'd ibn Abi Waqqas [598] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , Umm Qasim, Umm Khultum, 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Sa'd ibn Abi Waqqas [10555] , Mus'ub bin Sa'd ibn Abi Waqqas [10556] , Ibrahim bin Sa'd ibn Abi Waqqas [10557] , Ya'qub bin Sa'd ibn Abi Waqqas [10558] , 'Aisha bint Sa'd ibn Abi Waqqas [10559] ,'Amir ibn Abi Waqqas [175] , 'Umayr ibn Abi Waqqas [822] , 'Utba ibn Abi Waqqas [2240],,,,,,,,,Makkah, Medina, Kufa,,,Muhammad (saw) [1] , Khawlah bint Hakim [76],,,,,,,,,,,,,,,,,,,,,,,'Umar bin Sa'd ibn Abi Waqqas [598] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Sa'd ibn Abi Waqqas [10555] , Mus'ub bin Sa'd ibn Abi Waqqas [10556] , Ibrahim bin Sa'd ibn Abi Waqqas [10557] , Ya'qub bin Sa'd ibn Abi Waqqas [10558] , 'Aisha bint Sa'd ibn Abi Waqqas [10559] , 'Aisha bint Abi Bakr [53] , ibn Umar [18] , ibn Abbas [17] , Jabir bin Samra [393] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Tha'laba bin Sa'ayr [5003] , Malik bin Aws bin al-Hadathan [5030] , Ibrahim bin 'Abdur Rahman [584] , Abu 'Uthman al-Nahdi [11113] , Abu 'Abdur Rahman al-Salmi [11359] , 'Alqama bin Qays [11017] , Basr bin Sa'id al-Madni [11153] , al-Ahnaf bin Qays [11112] , Sharih bin Hani' al-Harithi [10774] , 'Amr bin Maymun al-Aw'di [11382] , Mujahid bin Jabir [11028] ,Recitation/Quran, Narrator, Fiqh, Commander,,Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr] , Uhud [Uhud] , Khandaq [Khandaq] , Baqi' [Baqi'] , Promised Paradise [Promised%20Paradise],,,,,,,,,,,,,,,,,,
9,10,Abu 'Ubaidah ibn al-Jarrah ,Comp.(RA) [1st Generation],40 BH/584 CE (Makkah),"18 AH/640 CE ('Amawas, Palestine)[ Natural/Plague ]",Makkah,"['40 BH', '584 CE']",40,584,18,640,"'Amawas, Palestine",Natural,'Abdullah ibn al-Jarrah,Umm Ghanm bint Jabir bin 'Abdul-'Uzza,Hind bint Jabar, Warja,,,,,,,,,,,Yazid and 'Ubaidah, 'Umair,,,,,,,,,,,Yazid ibn 'Abdullah ibn al-Jarrah [599],,,,,,,,,,,Makkah, Medina, Syria,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Jabir ibn 'Abdullah [34] , Samra bin Jundub [394] , 'Abdur Rahman bin Ghnm [5152] , Abu Umama al-Bahili [4048] , 'Arbad bin Sariyya al-Salmi [5172] , Abu Tha'laba al-Khushni [4056] , Abu Muslim al-Khulani [11026] , Aslam Client Of 'Umar [11416] , Qays bin Abi Hazim [11046] , 'Abdullah bin Saraqa al-Azdi [14212] , Nashrah bin Sami al-Yazni [16105],,,,,,,,,,,,,,Recitation/Quran, Commander, Narrator ,,,Quraish [Quraish] , B.Fihr [B.Fihr] , Promised Paradise [Promised%20Paradise] , Abyssinia 2 [Abyssinia%202] , Early Muslim [Early%20Muslim] , Emigrant [Emigrant] , Badr [Badr],,,,,,,,,,,,,,,,,,,,
